"DocCount","DocUuid","DocDoi","DocArticleUuid","BibYear","BibSource","BibVolume","BibIssue","BibFirstPage","BibLastPage","CitTreatCitCount","CitFigCitCount","CitTabCitCount"
"1","03BF87A3C85FFF96FF3DFC28FEB3A7BA","http://doi.org/10.5281/zenodo.4559954","FF86FFDBC841FFB7FFAAFFDEFFA5A577","2021","Zootaxa","4933","2","181","184","10","10","1"
"1","03BF87A3C860FF95FF3DFAC8FE24A58F","http://doi.org/10.5281/zenodo.4550194","FF86FFDBC841FFB7FFAAFFDEFFA5A577","2021","Zootaxa","4933","2","184","185","2","1","1"
"1","03D66E0179764E7E28F5FB35FE93F8D8","http://doi.org/10.5281/zenodo.4671584","FFEF167979724E782862FFC7FFA6FFDB","2021","Zootaxa","4952","1","185","187","5","13","2"
"1","03BF87A3C863FF94FF3DFEE1FD72A482","http://doi.org/10.5281/zenodo.4559956","FF86FFDBC841FFB7FFAAFFDEFFA5A577","2021","Zootaxa","4933","2","185","186","3","2","1"
"1","03BF87A3C862FF94FF3DFC32FDFDA3D4","http://doi.org/10.5281/zenodo.4559959","FF86FFDBC841FFB7FFAAFFDEFFA5A577","2021","Zootaxa","4933","2","186","186","3","1","1"
"1","03BF87A3C862FF93FF3DF92AFB38A4A6","http://doi.org/10.5281/zenodo.4559961","FF86FFDBC841FFB7FFAAFFDEFFA5A577","2021","Zootaxa","4933","2","186","187","1","1","1"
"1","03D66E0179744E7028F5F893FE5BF804","http://doi.org/10.5281/zenodo.4671588","FFEF167979724E782862FFC7FFA6FFDB","2021","Zootaxa","4952","1","187","189","4","8","1"
"1","03BD87E66BDAFF7EAF89F999FD103FB3","http://doi.org/10.5281/zenodo.4537544","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","188","188","4","2","1"
"1","03BD87E66BDAFF78AF89FCF9FD133BF1","http://doi.org/10.5281/zenodo.4534666","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","188","190","5","4","1"
"1","03BD87E66BDCFF7AAF89FF69FD133C29","http://doi.org/10.5281/zenodo.4537546","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","190","192","7","4","1"
"1","03007E45FF82FF803D89FCF9F2F9B998","http://doi.org/10.5281/zenodo.4579397","FF39063DFF81FF863D1EFF9FF35CBE7B","2021","Zootaxa","4938","2","199","202","7","14","2"
